minimo {99999,-99999}
minimo {71481,-71481}
minimo {71480,-71480}
minimo {71479,-71479}
minimo {71478,-71478}
minimo {71477,-71477}
minimo {71476,-71476}
minimo {71475,-71475}
minimo {71474,-71474}
minimo {71473,-71473}
minimo {71472,-71472}
minimo {71471,-71471}
minimo {71470,-71470}
minimo {71469,-71469}
minimo {71468,-71468}
minimo {71467,-71467}
minimo {71466,-71466}
minimo {71465,-71465}
minimo {71464,-71464}
minimo {71463,-71463}
minimo {71462,-71462}
minimo {71461,-71461}
minimo {71460,-71460}
minimo {71459,-71459}
minimo {71458,-71458}
minimo {71457,-71457}
minimo {71456,-71456}
minimo {71455,-71455}
minimo {71454,-71454}
minimo {71453,-71453}
minimo {71452,-71452}
minimo {71451,-71451}
minimo {71450,-71450}
minimo {71449,-71449}
minimo {71448,-71448}
minimo {71447,-71447}
minimo {71446,-71446}
minimo {71445,-71445}
minimo {71444,-71444}
minimo {71443,-71443}
minimo {71442,-71442}
minimo {71441,-71441}
minimo {71440,-71440}
minimo {71439,-71439}
minimo {71438,-71438}
minimo {71437,-71437}
minimo {71436,-71436}
minimo {71435,-71435}
minimo {71434,-71434}
minimo {71433,-71433}
minimo {71432,-71432}
minimo {71431,-71431}
minimo {71430,-71430}
minimo {71429,-71429}
minimo {71428,-71428}
minimo {71427,-71427}
minimo {71426,-71426}
minimo {71425,-71425}
minimo {71424,-71424}
minimo {71423,-71423}
minimo {71422,-71422}
minimo {71421,-71421}
minimo {71420,-71420}
minimo {71419,-71419}
minimo {71418,-71418}
minimo {71417,-71417}
minimo {71416,-71416}
minimo {71415,-71415}
minimo {71414,-71414}
minimo {71413,-71413}
minimo {71412,-71412}
minimo {71411,-71411}
minimo {71410,-71410}
minimo {71409,-71409}
minimo {71408,-71408}
minimo {71407,-71407}
minimo {71406,-71406}
minimo {71405,-71405}
minimo {71404,-71404}
minimo {71403,-71403}
minimo {71402,-71402}
minimo {71401,-71401}
minimo {71400,-71400}
minimo {71399,-71399}
minimo {71398,-71398}
minimo {71397,-71397}
minimo {71396,-71396}
minimo {71395,-71395}
minimo {71394,-71394}
minimo {71393,-71393}
minimo {71392,-71392}
minimo {71391,-71391}
minimo {71390,-71390}
minimo {71389,-71389}
minimo {71388,-71388}
minimo {71387,-71387}
minimo {71386,-71386}
minimo {71385,-71385}
minimo {71384,-71384}
minimo {71383,-71383}
minimo {71382,-71382}
minimo {71381,-71381}
minimo {71380,-71380}
minimo {71379,-71379}
minimo {71378,-71378}
minimo {71377,-71377}
minimo {71376,-71376}
minimo {71375,-71375}
minimo {71374,-71374}
minimo {71373,-71373}
minimo {71372,-71372}
minimo {71371,-71371}
minimo {71370,-71370}
minimo {71369,-71369}
minimo {71368,-71368}
minimo {71367,-71367}
minimo {71366,-71366}
minimo {71365,-71365}
minimo {71364,-71364}
minimo {71363,-71363}
minimo {71362,-71362}
minimo {71361,-71361}
minimo {71360,-71360}
minimo {71359,-71359}
minimo {71358,-71358}
minimo {71357,-71357}
minimo {71356,-71356}
minimo {71355,-71355}
minimo {71354,-71354}
minimo {71353,-71353}
minimo {71352,-71352}
minimo {71351,-71351}
minimo {71350,-71350}
minimo {71349,-71349}
minimo {71348,-71348}
minimo {71347,-71347}
minimo {71346,-71346}
minimo {71345,-71345}
minimo {71344,-71344}
minimo {71343,-71343}
minimo {71342,-71342}
minimo {71341,-71341}
minimo {71340,-71340}
minimo {71339,-71339}
minimo {71338,-71338}
minimo {71337,-71337}
minimo {71336,-71336}
minimo {71335,-71335}
minimo {71334,-71334}
minimo {71333,-71333}
minimo {71332,-71332}
minimo {71331,-71331}
minimo {71330,-71330}
minimo {71329,-71329}
minimo {71328,-71328}
minimo {71327,-71327}
minimo {71326,-71326}
minimo {71325,-71325}
minimo {71324,-71324}
minimo {71323,-71323}
minimo {71322,-71322}
minimo {71321,-71321}
minimo {71320,-71320}
minimo {71319,-71319}
minimo {71318,-71318}
minimo {71317,-71317}
minimo {71316,-71316}
minimo {71315,-71315}
minimo {71314,-71314}
minimo {71313,-71313}
minimo {71312,-71312}
minimo {71311,-71311}
minimo {71310,-71310}
minimo {71309,-71309}
minimo {71308,-71308}
minimo {71307,-71307}
minimo {71306,-71306}
minimo {71305,-71305}
minimo {71304,-71304}
minimo {71303,-71303}
minimo {71302,-71302}
minimo {71301,-71301}
minimo {71300,-71300}
minimo {71299,-71299}
minimo {71298,-71298}
minimo {71297,-71297}
minimo {71296,-71296}
minimo {71295,-71295}
minimo {71294,-71294}
minimo {71293,-71293}
minimo {71292,-71292}
minimo {71291,-71291}
minimo {71290,-71290}
minimo {71289,-71289}
minimo {71288,-71288}
minimo {71287,-71287}
minimo {71286,-71286}
minimo {71285,-71285}
minimo {71284,-71284}
minimo {71283,-71283}
minimo {71282,-71282}
minimo {71281,-71281}
minimo {71280,-71280}
minimo {71279,-71279}
minimo {71278,-71278}
minimo {71277,-71277}
minimo {71276,-71276}
minimo {71275,-71275}
minimo {71274,-71274}
minimo {71273,-71273}
minimo {71272,-71272}
minimo {71271,-71271}
minimo {71270,-71270}
minimo {71269,-71269}
minimo {71268,-71268}
minimo {71267,-71267}
minimo {71266,-71266}
minimo {71265,-71265}
minimo {71264,-71264}
minimo {71263,-71263}
minimo {71262,-71262}
minimo {71261,-71261}
minimo {71260,-71260}
minimo {71259,-71259}
minimo {71258,-71258}
minimo {71257,-71257}
minimo {71256,-71256}
minimo {71255,-71255}
minimo {71254,-71254}
minimo {71253,-71253}
minimo {71252,-71252}
minimo {71251,-71251}
minimo {71250,-71250}
minimo {71249,-71249}
minimo {71248,-71248}
minimo {71247,-71247}
minimo {71246,-71246}
minimo {71245,-71245}
minimo {71244,-71244}
minimo {71243,-71243}
minimo {71242,-71242}
minimo {71241,-71241}
minimo {71240,-71240}
minimo {71239,-71239}
minimo {71238,-71238}
minimo {71237,-71237}
minimo {71236,-71236}
minimo {71235,-71235}
minimo {71234,-71234}
minimo {71233,-71233}
minimo {71232,-71232}
minimo {71231,-71231}
minimo {71230,-71230}
minimo {71229,-71229}
minimo {71228,-71228}
minimo {71227,-71227}
minimo {71226,-71226}
minimo {71225,-71225}
minimo {71224,-71224}
minimo {71223,-71223}
minimo {71222,-71222}
minimo {71221,-71221}
minimo {71220,-71220}
minimo {71219,-71219}
minimo {71218,-71218}
minimo {71217,-71217}
minimo {71216,-71216}
minimo {71215,-71215}
minimo {71214,-71214}
minimo {71213,-71213}
minimo {71212,-71212}
minimo {71211,-71211}
minimo {71210,-71210}
minimo {71209,-71209}
minimo {71208,-71208}
minimo {71207,-71207}
minimo {71206,-71206}
minimo {71205,-71205}
minimo {71204,-71204}
minimo {71203,-71203}
minimo {71202,-71202}
minimo {71201,-71201}
minimo {71200,-71200}
minimo {71199,-71199}
minimo {71198,-71198}
minimo {71197,-71197}
minimo {71196,-71196}
minimo {71195,-71195}
minimo {71194,-71194}
minimo {71193,-71193}
minimo {71192,-71192}
minimo {71191,-71191}
minimo {71190,-71190}
minimo {71189,-71189}
minimo {71188,-71188}
minimo {71187,-71187}
minimo {71186,-71186}
minimo {71185,-71185}
minimo {71184,-71184}
minimo {71183,-71183}
minimo {71182,-71182}
minimo {71181,-71181}
minimo {71180,-71180}
minimo {71179,-71179}
minimo {71178,-71178}
minimo {71177,-71177}
minimo {71176,-71176}
minimo {71175,-71175}
minimo {71174,-71174}
minimo {71173,-71173}
minimo {71172,-71172}
minimo {71171,-71171}
minimo {71170,-71170}
minimo {71169,-71169}
minimo {71168,-71168}
minimo {71167,-71167}
minimo {71166,-71166}
minimo {71165,-71165}
minimo {71164,-71164}
minimo {71163,-71163}
minimo {71162,-71162}
minimo {71161,-71161}
minimo {71160,-71160}
minimo {71159,-71159}
minimo {71158,-71158}
minimo {71157,-71157}
minimo {71156,-71156}
minimo {71155,-71155}
minimo {71154,-71154}
minimo {71153,-71153}
minimo {71152,-71152}
minimo {71151,-71151}
minimo {71150,-71150}
minimo {71149,-71149}
minimo {71148,-71148}
minimo {71147,-71147}
minimo {71146,-71146}
minimo {71145,-71145}
minimo {71144,-71144}
minimo {71143,-71143}
minimo {71142,-71142}
minimo {71141,-71141}
minimo {71140,-71140}
minimo {71139,-71139}
minimo {71138,-71138}
minimo {71137,-71137}
minimo {71136,-71136}
minimo {71135,-71135}
minimo {71134,-71134}
minimo {71133,-71133}
minimo {71132,-71132}
minimo {71131,-71131}
minimo {71130,-71130}
minimo {71129,-71129}
minimo {71128,-71128}
minimo {71127,-71127}
minimo {71126,-71126}
minimo {71125,-71125}
minimo {71124,-71124}
minimo {71123,-71123}
minimo {71122,-71122}
minimo {71121,-71121}
minimo {71120,-71120}
minimo {71119,-71119}
minimo {71118,-71118}
minimo {71117,-71117}
minimo {71116,-71116}
minimo {71115,-71115}
minimo {71114,-71114}
minimo {71113,-71113}
minimo {71112,-71112}
minimo {71111,-71111}
minimo {71110,-71110}
minimo {71109,-71109}
minimo {71108,-71108}
minimo {71107,-71107}
minimo {71106,-71106}
minimo {71105,-71105}
minimo {71104,-71104}
minimo {71103,-71103}
minimo {71102,-71102}
minimo {71101,-71101}
minimo {71100,-71100}
minimo {71099,-71099}
minimo {71098,-71098}
minimo {71097,-71097}
minimo {71096,-71096}
minimo {71095,-71095}
minimo {71094,-71094}
minimo {71093,-71093}
minimo {71092,-71092}
minimo {71091,-71091}
minimo {71090,-71090}
minimo {71089,-71089}
minimo {71088,-71088}
minimo {71087,-71087}
minimo {71086,-71086}
minimo {71085,-71085}
minimo {71084,-71084}
minimo {71083,-71083}
minimo {71082,-71082}
minimo {71081,-71081}
minimo {71080,-71080}
minimo {71079,-71079}
minimo {71078,-71078}
minimo {71077,-71077}
minimo {71076,-71076}
minimo {71075,-71075}
minimo {71074,-71074}
minimo {71073,-71073}
minimo {71072,-71072}
minimo {71071,-71071}
minimo {71070,-71070}
minimo {71069,-71069}
minimo {71068,-71068}
minimo {71067,-71067}
minimo {71066,-71066}
minimo {71065,-71065}
minimo {71064,-71064}
minimo {71063,-71063}
minimo {71062,-71062}
minimo {71061,-71061}
minimo {71060,-71060}
minimo {71059,-71059}
minimo {71058,-71058}
minimo {71057,-71057}
minimo {71056,-71056}
minimo {71055,-71055}
minimo {71054,-71054}
minimo {71053,-71053}
minimo {71052,-71052}
minimo {71051,-71051}
minimo {71050,-71050}
minimo {71049,-71049}
minimo {71048,-71048}
minimo {71047,-71047}
minimo {71046,-71046}
minimo {71045,-71045}
minimo {71044,-71044}
minimo {71043,-71043}
minimo {71042,-71042}
minimo {71041,-71041}
minimo {71040,-71040}
minimo {71039,-71039}
minimo {71038,-71038}
minimo {71037,-71037}
minimo {71036,-71036}
minimo {71035,-71035}
minimo {71034,-71034}
minimo {71033,-71033}
minimo {71032,-71032}
minimo {71031,-71031}
minimo {71030,-71030}
minimo {71029,-71029}
minimo {71028,-71028}
minimo {71027,-71027}
minimo {71026,-71026}
minimo {71025,-71025}
minimo {71024,-71024}
minimo {71023,-71023}
minimo {71022,-71022}
minimo {71021,-71021}
minimo {71020,-71020}
minimo {71019,-71019}
minimo {71018,-71018}
minimo {71017,-71017}
minimo {71016,-71016}
minimo {71015,-71015}
minimo {71014,-71014}
minimo {71013,-71013}
minimo {71012,-71012}
minimo {71011,-71011}
minimo {71010,-71010}
minimo {71009,-71009}
minimo {71008,-71008}
minimo {71007,-71007}
minimo {71006,-71006}
minimo {71005,-71005}
minimo {71004,-71004}
minimo {71003,-71003}
minimo {71002,-71002}
minimo {71001,-71001}
minimo {71000,-71000}
minimo {70999,-70999}
minimo {70998,-70998}
minimo {70997,-70997}
minimo {70996,-70996}
minimo {70995,-70995}
minimo {70994,-70994}
minimo {70993,-70993}
minimo {70992,-70992}
minimo {70991,-70991}
minimo {70990,-70990}
minimo {70989,-70989}
minimo {70988,-70988}
minimo {70987,-70987}
minimo {70986,-70986}
minimo {70985,-70985}
minimo {70984,-70984}
minimo {70983,-70983}
minimo {70982,-70982}
minimo {70981,-70981}
minimo {70980,-70980}
minimo {70979,-70979}
minimo {70978,-70978}
minimo {70977,-70977}
minimo {70976,-70976}
minimo {70975,-70975}
minimo {70974,-70974}
minimo {70973,-70973}
minimo {70972,-70972}
minimo {70971,-70971}
minimo {70970,-70970}
minimo {70969,-70969}
minimo {70968,-70968}
minimo {70967,-70967}
minimo {70966,-70966}
minimo {70965,-70965}
minimo {70964,-70964}
minimo {70963,-70963}
minimo {70962,-70962}
minimo {70961,-70961}
minimo {70960,-70960}
minimo {70959,-70959}
minimo {70958,-70958}
minimo {70957,-70957}
minimo {70956,-70956}
minimo {70955,-70955}
minimo {70954,-70954}
minimo {70953,-70953}
minimo {70952,-70952}
minimo {70951,-70951}
minimo {70950,-70950}
minimo {70949,-70949}
minimo {70948,-70948}
minimo {70947,-70947}
minimo {70946,-70946}
minimo {70945,-70945}
minimo {70944,-70944}
minimo {70943,-70943}
minimo {70942,-70942}
minimo {70941,-70941}
minimo {70940,-70940}
minimo {70939,-70939}
minimo {70938,-70938}
minimo {70937,-70937}
minimo {70936,-70936}
minimo {70935,-70935}
minimo {70934,-70934}
minimo {70933,-70933}
minimo {70932,-70932}
minimo {70931,-70931}
minimo {70930,-70930}
minimo {70929,-70929}
minimo {70928,-70928}
minimo {70927,-70927}
minimo {70926,-70926}
minimo {70925,-70925}
minimo {70924,-70924}
minimo {70923,-70923}
minimo {70922,-70922}
minimo {70921,-70921}
minimo {70920,-70920}
minimo {70919,-70919}
minimo {70918,-70918}
minimo {70917,-70917}
minimo {70916,-70916}
minimo {70915,-70915}
minimo {70914,-70914}
minimo {70913,-70913}
minimo {70912,-70912}
minimo {70911,-70911}
minimo {70910,-70910}
minimo {70909,-70909}
minimo {70908,-70908}
minimo {70907,-70907}
minimo {70906,-70906}
minimo {70905,-70905}
minimo {70904,-70904}
minimo {70903,-70903}
minimo {70902,-70902}
minimo {70901,-70901}
minimo {70900,-70900}
minimo {70899,-70899}
minimo {70898,-70898}
minimo {70897,-70897}
minimo {70896,-70896}
minimo {70895,-70895}
minimo {70894,-70894}
minimo {70893,-70893}
minimo {70892,-70892}
minimo {70891,-70891}
minimo {70890,-70890}
minimo {70889,-70889}
minimo {70888,-70888}
minimo {70887,-70887}
minimo {70886,-70886}
minimo {70885,-70885}
minimo {70884,-70884}
minimo {70883,-70883}
minimo {70882,-70882}
minimo {70881,-70881}
minimo {70880,-70880}
minimo {70879,-70879}
minimo {70878,-70878}
minimo {70877,-70877}
minimo {70876,-70876}
minimo {70875,-70875}
minimo {70874,-70874}
minimo {70873,-70873}
minimo {70872,-70872}
minimo {70871,-70871}
minimo {70870,-70870}
minimo {70869,-70869}
minimo {70868,-70868}
minimo {70867,-70867}
minimo {70866,-70866}
minimo {70865,-70865}
minimo {70864,-70864}
minimo {70863,-70863}
minimo {70862,-70862}
minimo {70861,-70861}
minimo {70860,-70860}
minimo {70859,-70859}
minimo {70858,-70858}
minimo {70857,-70857}
minimo {70856,-70856}
minimo {70855,-70855}
minimo {70854,-70854}
minimo {70853,-70853}
minimo {70852,-70852}
minimo {70851,-70851}
minimo {70850,-70850}
minimo {70849,-70849}
minimo {70848,-70848}
minimo {70847,-70847}
minimo {70846,-70846}
minimo {70845,-70845}
minimo {70844,-70844}
minimo {70843,-70843}
minimo {70842,-70842}
minimo {70841,-70841}
minimo {70840,-70840}
minimo {70839,-70839}
minimo {70838,-70838}
minimo {70837,-70837}
minimo {70836,-70836}
minimo {70835,-70835}
minimo {70834,-70834}
minimo {70833,-70833}
minimo {70832,-70832}
minimo {70831,-70831}
minimo {70830,-70830}
minimo {70829,-70829}
minimo {70828,-70828}
minimo {70827,-70827}
minimo {70826,-70826}
minimo {70825,-70825}
minimo {70824,-70824}
minimo {70823,-70823}
minimo {70822,-70822}
minimo {70821,-70821}
minimo {70820,-70820}
minimo {70819,-70819}
minimo {70818,-70818}
minimo {70817,-70817}
minimo {70816,-70816}
minimo {70815,-70815}
minimo {70814,-70814}
minimo {70813,-70813}
minimo {70812,-70812}
minimo {70811,-70811}
minimo {70810,-70810}
minimo {70809,-70809}
minimo {70808,-70808}
minimo {70807,-70807}
minimo {70806,-70806}
minimo {70805,-70805}
minimo {70804,-70804}
minimo {70803,-70803}
minimo {70802,-70802}
minimo {70801,-70801}
minimo {70800,-70800}
minimo {70799,-70799}
minimo {70798,-70798}
minimo {70797,-70797}
minimo {70796,-70796}
minimo {70795,-70795}
minimo {70794,-70794}
minimo {70793,-70793}
minimo {70792,-70792}
minimo {70791,-70791}
minimo {70790,-70790}
minimo {70789,-70789}
minimo {70788,-70788}
minimo {70787,-70787}
minimo {70786,-70786}
minimo {70785,-70785}
minimo {70784,-70784}
minimo {70783,-70783}
minimo {70782,-70782}
minimo {70781,-70781}
minimo {70780,-70780}
minimo {70779,-70779}
minimo {70778,-70778}
minimo {70777,-70777}
minimo {70776,-70776}
minimo {70775,-70775}
minimo {70774,-70774}
minimo {70773,-70773}
minimo {70772,-70772}
minimo {70771,-70771}
minimo {70770,-70770}
minimo {70769,-70769}
minimo {70768,-70768}
minimo {70767,-70767}
minimo {70766,-70766}
minimo {70765,-70765}
minimo {70764,-70764}
minimo {70763,-70763}
minimo {70762,-70762}
minimo {70761,-70761}
minimo {70760,-70760}
minimo {70759,-70759}
minimo {70758,-70758}
minimo {70757,-70757}
minimo {70756,-70756}
minimo {70755,-70755}
minimo {70754,-70754}
minimo {70753,-70753}
minimo {70752,-70752}
minimo {70751,-70751}
minimo {70750,-70750}
minimo {70749,-70749}
minimo {70748,-70748}
minimo {70747,-70747}
minimo {70746,-70746}
minimo {70745,-70745}
minimo {70744,-70744}
minimo {70743,-70743}
minimo {70742,-70742}
minimo {70741,-70741}
minimo {70740,-70740}
minimo {70739,-70739}
minimo {70738,-70738}
minimo {70737,-70737}
minimo {70736,-70736}
minimo {70735,-70735}
minimo {70734,-70734}
minimo {70733,-70733}
minimo {70732,-70732}
minimo {70731,-70731}
minimo {70730,-70730}
minimo {70729,-70729}
minimo {70728,-70728}
minimo {70727,-70727}
minimo {70726,-70726}
minimo {70725,-70725}
minimo {70724,-70724}
minimo {70723,-70723}
minimo {70722,-70722}
minimo {70721,-70721}
minimo {70720,-70720}
minimo {70719,-70719}
minimo {70718,-70718}
minimo {70717,-70717}
minimo {70716,-70716}
minimo {70715,-70715}
minimo {70714,-70714}
minimo {70713,-70713}
minimo {70712,-70712}
minimo {70711,-70711}
minimo {70710,-70710}
minimo {70709,-70709}
minimo {70708,-70708}
minimo {70707,-70707}
minimo {70706,-70706}
minimo {70705,-70705}
minimo {70704,-70704}
minimo {70703,-70703}
minimo {70702,-70702}
minimo {70701,-70701}
minimo {70700,-70700}
minimo {70699,-70699}
minimo {70698,-70698}
minimo {70697,-70697}
minimo {70696,-70696}
minimo {70695,-70695}
minimo {70694,-70694}
minimo {70693,-70693}
minimo {70692,-70692}
minimo {70691,-70691}
minimo {70690,-70690}
minimo {70689,-70689}
minimo {70688,-70688}
minimo {70687,-70687}
minimo {70686,-70686}
minimo {70685,-70685}
minimo {70684,-70684}
minimo {70683,-70683}
minimo {70682,-70682}
minimo {70681,-70681}
minimo {70680,-70680}
minimo {70679,-70679}
minimo {70678,-70678}
minimo {70677,-70677}
minimo {70676,-70676}
minimo {70675,-70675}
minimo {70674,-70674}
minimo {70673,-70673}
minimo {70672,-70672}
minimo {70671,-70671}
minimo {70670,-70670}
minimo {70669,-70669}
minimo {70668,-70668}
minimo {70667,-70667}
minimo {70666,-70666}
minimo {70665,-70665}
minimo {70664,-70664}
minimo {70663,-70663}
minimo {70662,-70662}
minimo {70661,-70661}
minimo {70660,-70660}
minimo {70659,-70659}
minimo {70658,-70658}
minimo {70657,-70657}
minimo {70656,-70656}
minimo {70655,-70655}
minimo {70654,-70654}
minimo {70653,-70653}
minimo {70652,-70652}
minimo {70651,-70651}
minimo {70650,-70650}
minimo {70649,-70649}
minimo {70648,-70648}
minimo {70647,-70647}
minimo {70646,-70646}
minimo {70645,-70645}
minimo {70644,-70644}
minimo {70643,-70643}
minimo {70642,-70642}
minimo {70641,-70641}
minimo {70640,-70640}
minimo {70639,-70639}
minimo {70638,-70638}
minimo {70637,-70637}
minimo {70636,-70636}
minimo {70635,-70635}
minimo {70634,-70634}
minimo {70633,-70633}
minimo {70632,-70632}
minimo {70631,-70631}
minimo {70630,-70630}
minimo {70629,-70629}
minimo {70628,-70628}
minimo {70627,-70627}
minimo {70626,-70626}
minimo {70625,-70625}
minimo {70624,-70624}
minimo {70623,-70623}
minimo {70622,-70622}
minimo {70621,-70621}
minimo {70620,-70620}
minimo {70619,-70619}
minimo {70618,-70618}
minimo {70617,-70617}
minimo {70616,-70616}
minimo {70615,-70615}
minimo {70614,-70614}
minimo {70613,-70613}
minimo {70612,-70612}
minimo {70611,-70611}
minimo {70610,-70610}
minimo {70609,-70609}
minimo {70608,-70608}
minimo {70607,-70607}
minimo {70606,-70606}
minimo {70605,-70605}
minimo {70604,-70604}
minimo {70603,-70603}
minimo {70602,-70602}
minimo {70601,-70601}
minimo {70600,-70600}
minimo {70599,-70599}
minimo {70598,-70598}
minimo {70597,-70597}
minimo {70596,-70596}
minimo {70595,-70595}
minimo {70594,-70594}
minimo {70593,-70593}
minimo {70592,-70592}
minimo {70591,-70591}
minimo {70590,-70590}
minimo {70589,-70589}
minimo {70588,-70588}
minimo {70587,-70587}
minimo {70586,-70586}
minimo {70585,-70585}
minimo {70584,-70584}
minimo {70583,-70583}
minimo {70582,-70582}
minimo {70581,-70581}
minimo {70580,-70580}
minimo {70579,-70579}
minimo {70578,-70578}
minimo {70577,-70577}
minimo {70576,-70576}
minimo {70575,-70575}
minimo {70574,-70574}
minimo {70573,-70573}
minimo {70572,-70572}
minimo {70571,-70571}
minimo {70570,-70570}
minimo {70569,-70569}
minimo {70568,-70568}
minimo {70567,-70567}
minimo {70566,-70566}
minimo {70565,-70565}
minimo {70564,-70564}
minimo {70563,-70563}
minimo {70562,-70562}
minimo {70561,-70561}
minimo {70560,-70560}
minimo {70559,-70559}
minimo {70558,-70558}
minimo {70557,-70557}
minimo {70556,-70556}
minimo {70555,-70555}
minimo {70554,-70554}
minimo {70553,-70553}
minimo {70552,-70552}
minimo {70551,-70551}
minimo {70550,-70550}
minimo {70549,-70549}
minimo {70548,-70548}
minimo {70547,-70547}
minimo {70546,-70546}
minimo {70545,-70545}
minimo {70544,-70544}
minimo {70543,-70543}
minimo {70542,-70542}
minimo {70541,-70541}
minimo {70540,-70540}
minimo {70539,-70539}
minimo {70538,-70538}
minimo {70537,-70537}
minimo {70536,-70536}
minimo {70535,-70535}
minimo {70534,-70534}
minimo {70533,-70533}
minimo {70532,-70532}
minimo {70531,-70531}
minimo {70530,-70530}
minimo {70529,-70529}
minimo {70528,-70528}
minimo {70527,-70527}
minimo {70526,-70526}
minimo {70525,-70525}
minimo {70524,-70524}
minimo {70523,-70523}
minimo {70522,-70522}
minimo {70521,-70521}
minimo {70520,-70520}
minimo {70519,-70519}
minimo {70518,-70518}
minimo {70517,-70517}
minimo {70516,-70516}
minimo {70515,-70515}
minimo {70514,-70514}
minimo {70513,-70513}
minimo {70512,-70512}
minimo {70511,-70511}
minimo {70510,-70510}
minimo {70509,-70509}
minimo {70508,-70508}
minimo {70507,-70507}
minimo {70506,-70506}
minimo {70505,-70505}
minimo {70504,-70504}
minimo {70503,-70503}
minimo {70502,-70502}
minimo {70501,-70501}
minimo {70500,-70500}
minimo {70499,-70499}
minimo {70498,-70498}
minimo {70497,-70497}
minimo {70496,-70496}
minimo {70495,-70495}
minimo {70494,-70494}
minimo {70493,-70493}
minimo {70492,-70492}
minimo {70491,-70491}
minimo {70490,-70490}
minimo {70489,-70489}
minimo {70488,-70488}
minimo {70487,-70487}
minimo {70486,-70486}
minimo {70485,-70485}
minimo {70484,-70484}
minimo {70483,-70483}
minimo {70482,-70482}
minimo {70481,-70481}
minimo {70480,-70480}
minimo {70479,-70479}
minimo {70478,-70478}
minimo {70477,-70477}
minimo {70476,-70476}
minimo {70475,-70475}
minimo {70474,-70474}
minimo {70473,-70473}
minimo {70472,-70472}
minimo {70471,-70471}
minimo {70470,-70470}
minimo {70469,-70469}
minimo {70468,-70468}
minimo {70467,-70467}
minimo {70466,-70466}
minimo {70465,-70465}
minimo {70464,-70464}
minimo {70463,-70463}
minimo {70462,-70462}
minimo {70461,-70461}
minimo {70460,-70460}
minimo {70459,-70459}
minimo {70458,-70458}
minimo {70457,-70457}
minimo {70456,-70456}
minimo {70455,-70455}
minimo {70454,-70454}
minimo {70453,-70453}
minimo {70452,-70452}
minimo {70451,-70451}
minimo {70450,-70450}
minimo {70449,-70449}
minimo {70448,-70448}
minimo {70447,-70447}
minimo {70446,-70446}
minimo {70445,-70445}
minimo {70444,-70444}
minimo {70443,-70443}
minimo {70442,-70442}
minimo {70441,-70441}
minimo {70440,-70440}
minimo {70439,-70439}
minimo {70438,-70438}
minimo {70437,-70437}
minimo {70436,-70436}
minimo {70435,-70435}
minimo {70434,-70434}
minimo {70433,-70433}
minimo {70432,-70432}
minimo {70431,-70431}
minimo {70430,-70430}
minimo {70429,-70429}
minimo {70428,-70428}
minimo {70427,-70427}
minimo {70426,-70426}
minimo {70425,-70425}
minimo {70424,-70424}
minimo {70423,-70423}
minimo {70422,-70422}
minimo {70421,-70421}
minimo {70420,-70420}
minimo {70419,-70419}
minimo {70418,-70418}
minimo {70417,-70417}
minimo {70416,-70416}
minimo {70415,-70415}
minimo {70414,-70414}
minimo {70413,-70413}
minimo {70412,-70412}
minimo {70411,-70411}
minimo {70410,-70410}
minimo {70409,-70409}
minimo {70408,-70408}
minimo {70407,-70407}
minimo {70406,-70406}
minimo {70405,-70405}
minimo {70404,-70404}
minimo {70403,-70403}
minimo {70402,-70402}
minimo {70401,-70401}
minimo {70400,-70400}
minimo {70399,-70399}
minimo {70398,-70398}
minimo {70397,-70397}
minimo {70396,-70396}
minimo {70395,-70395}
minimo {70394,-70394}
minimo {70393,-70393}
minimo {70392,-70392}
minimo {70391,-70391}
minimo {70390,-70390}
minimo {70389,-70389}
minimo {70388,-70388}
minimo {70387,-70387}
minimo {70386,-70386}
minimo {70385,-70385}
minimo {70384,-70384}
minimo {70383,-70383}
minimo {70382,-70382}
minimo {70381,-70381}
minimo {70380,-70380}
minimo {70379,-70379}
minimo {70378,-70378}
minimo {70377,-70377}
minimo {70376,-70376}
minimo {70375,-70375}
minimo {70374,-70374}
minimo {70373,-70373}
minimo {70372,-70372}
minimo {70371,-70371}
minimo {70370,-70370}
minimo {70369,-70369}
minimo {70368,-70368}
minimo {70367,-70367}
minimo {70366,-70366}
minimo {70365,-70365}
minimo {70364,-70364}
minimo {70363,-70363}
minimo {70362,-70362}
minimo {70361,-70361}
minimo {70360,-70360}
minimo {70359,-70359}
minimo {70358,-70358}
minimo {70357,-70357}
minimo {70356,-70356}
minimo {70355,-70355}
minimo {70354,-70354}
minimo {70353,-70353}
minimo {70352,-70352}
minimo {70351,-70351}
minimo {70350,-70350}
minimo {70349,-70349}
minimo {70348,-70348}
minimo {70347,-70347}
minimo {70346,-70346}
minimo {70345,-70345}
minimo {70344,-70344}
minimo {70343,-70343}
minimo {70342,-70342}
minimo {70341,-70341}
minimo {70340,-70340}
minimo {70339,-70339}
minimo {70338,-70338}
minimo {70337,-70337}
minimo {70336,-70336}
minimo {70335,-70335}
minimo {70334,-70334}
minimo {70333,-70333}
minimo {70332,-70332}
minimo {70331,-70331}
minimo {70330,-70330}
minimo {70329,-70329}
minimo {70328,-70328}
minimo {70327,-70327}
minimo {70326,-70326}
minimo {70325,-70325}
minimo {70324,-70324}
minimo {70323,-70323}
minimo {70322,-70322}
minimo {70321,-70321}
minimo {70320,-70320}
minimo {70319,-70319}
minimo {70318,-70318}
minimo {70317,-70317}
